,Date,short-liquidations-usd
0,08 Sep '20,"14,154,427.926840002"
1,09 Dec '19,"15,689,251.55436682"
2,09 Dec '19,"15,689,251.55436682"
3,09 Dec '19,"15,689,251.55436682"
4,09 Dec '19,"15,689,251.55436682"
5,09 Dec '19,"15,689,251.55436682"
6,09 Dec '19,"15,689,251.55436682"
7,13 Mar '19,"10,570"
8,13 Mar '19,"10,570"
9,14 Mar '19,"104,923"
10,14 Mar '19,"104,923"
11,15 Mar '19,"106,420"
12,16 Mar '19,"522,912"
13,16 Mar '19,"522,912"
14,17 Mar '19,"4,167"
15,17 Mar '19,"4,167"
16,18 Mar '19,"27,948"
17,19 Mar '19,"142,090"
18,19 Mar '19,"142,090"
19,20 Mar '19,"342,679"
20,21 Mar '19,"97,896"
21,21 Mar '19,"97,896"
22,22 Mar '19,"3,600"
23,22 Mar '19,"3,600"
24,23 Mar '19,"8,700"
25,24 Mar '19,0
26,24 Mar '19,0
27,25 Mar '19,0
28,26 Mar '19,"14,700"
29,26 Mar '19,"14,700"
30,27 Mar '19,"1,005,196"
31,27 Mar '19,"1,005,196"
32,28 Mar '19,23
33,29 Mar '19,"862,766"
34,29 Mar '19,"862,766"
35,30 Mar '19,"95,341"
36,30 Mar '19,"95,341"
37,31 Mar '19,"3,009"
38,01 Apr '19,"547,625"
39,01 Apr '19,"547,625"
40,02 Apr '19,"519,723,024"
41,03 Apr '19,"48,995,742"
42,03 Apr '19,"48,995,742"
43,04 Apr '19,"9,102,552"
44,04 Apr '19,"9,102,552"
45,05 Apr '19,"11,582,513"
46,06 Apr '19,"24,621,389"
47,06 Apr '19,"24,621,389"
48,07 Apr '19,"15,523,602"
49,08 Apr '19,"9,139,771"
50,08 Apr '19,"9,139,771"
51,09 Apr '19,"1,895,708"
52,09 Apr '19,"1,895,708"
53,10 Apr '19,"56,116,440"
54,11 Apr '19,"1,466,420"
55,11 Apr '19,"1,466,420"
56,12 Apr '19,"6,880,851"
57,13 Apr '19,"1,751,783"
58,13 Apr '19,"1,751,783"
59,14 Apr '19,"11,896,900"
60,14 Apr '19,"11,896,900"
61,15 Apr '19,"627,502"
62,16 Apr '19,"28,712,138"
63,16 Apr '19,"28,712,138"
64,17 Apr '19,"9,585,904"
65,17 Apr '19,"9,585,904"
66,18 Apr '19,"7,516,079"
67,19 Apr '19,"13,095,546"
68,19 Apr '19,"13,095,546"
69,20 Apr '19,"3,852,201"
70,21 Apr '19,"1,792,163"
71,21 Apr '19,"1,792,163"
72,22 Apr '19,"27,893,095"
73,22 Apr '19,"27,893,095"
74,23 Apr '19,"77,917,965"
75,24 Apr '19,"5,292,379"
76,24 Apr '19,"5,292,379"
77,25 Apr '19,"3,515,548"
78,26 Apr '19,"5,583,866"
79,26 Apr '19,"5,583,866"
80,27 Apr '19,"5,681,418"
81,27 Apr '19,"5,681,418"
82,28 Apr '19,"861,858"
83,29 Apr '19,"5,040,350"
84,29 Apr '19,"5,040,350"
85,30 Apr '19,"18,005,427"
86,01 May '19,"13,043,304"
87,01 May '19,"13,043,304"
88,02 May '19,"8,716,170"
89,02 May '19,"8,716,170"
90,03 May '19,"96,377,381"
91,04 May '19,"30,309,236"
92,04 May '19,"30,309,236"
93,05 May '19,"3,471,149"
94,05 May '19,"3,471,149"
95,06 May '19,"2,909,079"
96,07 May '19,"38,249,769"
97,07 May '19,"38,249,769"
98,08 May '19,"14,431,294"
99,09 May '19,"35,648,775"
100,09 May '19,"35,648,775"
101,10 May '19,"33,509,259"
102,10 May '19,"33,509,259"
103,11 May '19,"188,318,635"
104,12 May '19,"37,344,893"
105,12 May '19,"37,344,893"
106,13 May '19,"129,858,664"
107,14 May '19,"37,251,950"
108,14 May '19,"37,251,950"
109,15 May '19,"29,571,538"
110,15 May '19,"29,571,538"
111,16 May '19,"20,703,160"
112,17 May '19,"33,994,757"
113,17 May '19,"33,994,757"
114,18 May '19,"7,464,368"
115,19 May '19,"86,368,592"
116,19 May '19,"86,368,592"
117,20 May '19,"31,284,555"
118,20 May '19,"31,284,555"
119,21 May '19,"15,868,057"
120,22 May '19,"12,837,081"
121,22 May '19,"12,837,081"
122,23 May '19,"28,555,443"
123,23 May '19,"28,555,443"
124,24 May '19,"25,265,786"
125,25 May '19,"7,811,148"
126,25 May '19,"7,811,148"
127,26 May '19,"138,495,293"
128,27 May '19,"32,410,598"
129,27 May '19,"32,410,598"
130,28 May '19,"7,962,145"
131,28 May '19,"7,962,145"
132,29 May '19,"9,776,204"
133,30 May '19,"48,368,662"
134,30 May '19,"48,368,662"
135,31 May '19,"13,260,972"
136,01 Jun '19,"5,796,315"
137,01 Jun '19,"5,796,315"
138,02 Jun '19,"25,653,461"
139,02 Jun '19,"25,653,461"
140,03 Jun '19,"7,863,776"
141,04 Jun '19,"11,337,606"
142,04 Jun '19,"11,337,606"
143,05 Jun '19,"24,180,250"
144,06 Jun '19,"11,161,229"
145,06 Jun '19,"11,161,229"
146,07 Jun '19,"32,973,972"
147,07 Jun '19,"32,973,972"
148,08 Jun '19,"2,380,847"
149,09 Jun '19,"1,130,389"
150,09 Jun '19,"1,130,389"
151,10 Jun '19,"43,227,794"
152,10 Jun '19,"43,227,794"
153,11 Jun '19,"6,850,464"
154,12 Jun '19,"53,427,448"
155,12 Jun '19,"53,427,448"
156,13 Jun '19,"12,774,106"
157,14 Jun '19,"77,112,829"
158,14 Jun '19,"77,112,829"
159,15 Jun '19,"25,915,413"
160,15 Jun '19,"25,915,413"
161,16 Jun '19,"113,050,639"
162,17 Jun '19,"30,959,808"
163,17 Jun '19,"30,959,808"
164,18 Jun '19,"6,567,954"
165,19 Jun '19,"21,037,727"
166,19 Jun '19,"21,037,727"
167,20 Jun '19,"33,273,404"
168,20 Jun '19,"33,273,404"
169,21 Jun '19,"140,060,773"
170,22 Jun '19,"171,827,128"
171,22 Jun '19,"171,827,128"
172,23 Jun '19,"25,142,032"
173,23 Jun '19,"25,142,032"
174,24 Jun '19,"17,559,129"
175,25 Jun '19,"34,779,440"
176,25 Jun '19,"34,779,440"
177,26 Jun '19,"243,599,603"
178,27 Jun '19,"47,299,174"
179,27 Jun '19,"47,299,174"
180,28 Jun '19,"54,669,910"
181,28 Jun '19,"54,669,910"
182,29 Jun '19,"37,667,882"
183,30 Jun '19,"14,032,316"
184,30 Jun '19,"14,032,316"
185,01 Jul '19,"27,256,915"
186,02 Jul '19,"67,808,749"
187,02 Jul '19,"67,808,749"
188,03 Jul '19,"86,369,596"
189,03 Jul '19,"86,369,596"
190,04 Jul '19,"15,266,881"
191,05 Jul '19,"21,900,771"
192,05 Jul '19,"21,900,771"
193,06 Jul '19,"32,194,610"
194,07 Jul '19,"33,127,314"
195,07 Jul '19,"33,127,314"
196,08 Jul '19,"87,126,157"
197,08 Jul '19,"87,126,157"
198,09 Jul '19,"50,700,612"
199,10 Jul '19,"50,423,929"
200,10 Jul '19,"50,423,929"
201,11 Jul '19,"22,065,340"
202,11 Jul '19,"22,065,340"
203,12 Jul '19,"53,285,110"
204,13 Jul '19,"23,257,541"
205,13 Jul '19,"23,257,541"
206,14 Jul '19,"11,457,928"
207,15 Jul '19,"42,140,117"
208,15 Jul '19,"42,140,117"
209,16 Jul '19,"16,811,861"
210,16 Jul '19,"16,811,861"
211,17 Jul '19,"25,308,203"
212,18 Jul '19,"92,161,197"
213,18 Jul '19,"92,161,197"
214,19 Jul '19,"16,650,908"
215,20 Jul '19,"43,109,799"
216,20 Jul '19,"43,109,799"
217,21 Jul '19,"4,959,034"
218,21 Jul '19,"4,959,034"
219,22 Jul '19,"7,897,826"
220,23 Jul '19,"13,018,808"
