,Date,estimated-leverage-ratio
0,30/03/2019,0.1132628
1,31/03/2019,0.11509061
2,01/04/2019,0.11973992
3,02/04/2019,0.07072397
4,03/04/2019,0.06541539
5,04/04/2019,0.0732119
6,05/04/2019,0.06930805
7,06/04/2019,0.06918833
8,07/04/2019,0.06850967
9,08/04/2019,0.07059084
10,09/04/2019,0.07504902
11,10/04/2019,0.07235035
12,11/04/2019,0.07475191
13,12/04/2019,0.07210577
14,13/04/2019,0.07768485
15,14/04/2019,0.07727262
16,15/04/2019,0.0767244
17,16/04/2019,0.07382128
18,17/04/2019,0.07376632
19,18/04/2019,0.07400008
20,19/04/2019,0.0763742
21,20/04/2019,0.0780557
22,21/04/2019,0.07875835
23,22/04/2019,0.07850725
24,23/04/2019,0.08159698
25,24/04/2019,0.08476734
26,25/04/2019,0.08171765
27,26/04/2019,0.08613657
28,27/04/2019,0.08618358
29,28/04/2019,0.09144293
30,29/04/2019,0.09167311
31,30/04/2019,0.0938951
32,01/05/2019,0.09550598
33,02/05/2019,0.09715585
34,03/05/2019,0.08342112
35,04/05/2019,0.07611878
36,05/05/2019,0.08244512
37,06/05/2019,0.08652712
38,07/05/2019,0.08280767
39,08/05/2019,0.08333313
40,09/05/2019,0.08356289
41,10/05/2019,0.09128635
42,11/05/2019,0.07136802
43,12/05/2019,0.06539286
44,13/05/2019,0.06311192
45,14/05/2019,0.06202304
46,15/05/2019,0.06111859
47,16/05/2019,0.06624794
48,17/05/2019,0.05175399
49,18/05/2019,0.05623885
50,19/05/2019,0.05535492
51,20/05/2019,0.05458691
52,21/05/2019,0.05563998
53,22/05/2019,0.05653387
54,23/05/2019,0.05320897
55,24/05/2019,0.05920693
56,25/05/2019,0.06237377
57,26/05/2019,0.06484574
58,27/05/2019,0.06446984
59,28/05/2019,0.06739244
60,29/05/2019,0.06739521
61,30/05/2019,0.06227344
62,31/05/2019,0.05986585
63,01/06/2019,0.06077223
64,02/06/2019,0.06205151
65,03/06/2019,0.0623525
66,04/06/2019,0.05948685
67,05/06/2019,0.05803468
68,06/06/2019,0.05742367
69,07/06/2019,0.05425116
70,08/06/2019,0.05739153
71,09/06/2019,0.06238446
72,10/06/2019,0.05708298
73,11/06/2019,0.05663025
74,12/06/2019,0.05810185
75,13/06/2019,0.05982901
76,14/06/2019,0.05814754
