,Date,exchange-whale-ratio
17,30/03/2019,0.44988483
18,31/03/2019,0.45919491
19,01/04/2019,0.35713697
20,02/04/2019,0.28391874
21,03/04/2019,0.28538697
22,04/04/2019,0.35645348
23,05/04/2019,0.35501976
24,06/04/2019,0.37305781
25,07/04/2019,0.34852091
26,08/04/2019,0.42989942
27,09/04/2019,0.38485009
28,10/04/2019,0.38475837
29,11/04/2019,0.35544434
30,12/04/2019,0.43219322
31,13/04/2019,0.54022201
32,14/04/2019,0.59020671
33,15/04/2019,0.443574
34,16/04/2019,0.4079339
35,17/04/2019,0.38349944
36,18/04/2019,0.36492021
37,19/04/2019,0.39479131
38,20/04/2019,0.40556616
39,21/04/2019,0.45638835
40,22/04/2019,0.41198935
41,23/04/2019,0.30554847
42,24/04/2019,0.37012502
43,25/04/2019,0.37850775
44,26/04/2019,0.38372963
45,27/04/2019,0.44302669
46,28/04/2019,0.46852917
47,29/04/2019,0.43667067
48,30/04/2019,0.49446853
49,01/05/2019,0.49132778
50,02/05/2019,0.39353867
51,03/05/2019,0.39021214
52,04/05/2019,0.39638198
53,05/05/2019,0.42582989
54,06/05/2019,0.39226971
55,07/05/2019,0.31148217
56,08/05/2019,0.42770892
57,09/05/2019,0.46277448
58,10/05/2019,0.43918941
59,11/05/2019,0.44605025
60,12/05/2019,0.45915962
61,13/05/2019,0.40205927
62,14/05/2019,0.43923595
63,15/05/2019,0.42780528
64,16/05/2019,0.38577834
65,17/05/2019,0.34367207
66,18/05/2019,0.38605811
67,19/05/2019,0.39060782
68,20/05/2019,0.41189046
69,21/05/2019,0.35393112
70,22/05/2019,0.38658317
71,23/05/2019,0.43736644
72,24/05/2019,0.41154238
73,25/05/2019,0.3704888
74,26/05/2019,0.39057107
75,27/05/2019,0.31241999
76,28/05/2019,0.35989127
77,29/05/2019,0.33994021
78,30/05/2019,0.32716516
79,31/05/2019,0.42846458
80,01/06/2019,0.37570903
81,02/06/2019,0.3955901
82,03/06/2019,0.43224989
83,04/06/2019,0.31137883
84,05/06/2019,0.38485628
85,06/06/2019,0.43490751
86,07/06/2019,0.36447648
87,08/06/2019,0.380954
88,09/06/2019,0.35101738
89,10/06/2019,0.37099676
90,11/06/2019,0.41500411
91,12/06/2019,0.38078659
92,13/06/2019,0.35800569
93,14/06/2019,0.28519318
94,15/06/2019,0.35434828
95,16/06/2019,0.37219051
96,17/06/2019,0.34859357
97,18/06/2019,0.38488278
98,19/06/2019,0.42566268
99,20/06/2019,0.29108677
100,21/06/2019,0.35084741
101,22/06/2019,0.27823737
102,23/06/2019,0.31487794
103,24/06/2019,0.38000645
104,25/06/2019,0.35075106
105,26/06/2019,0.26397196
106,27/06/2019,0.29252383
107,28/06/2019,0.39057119
108,29/06/2019,0.37800568
109,30/06/2019,0.6131169
110,01/07/2019,0.40479603
111,02/07/2019,0.36642644
112,03/07/2019,0.39094091
113,04/07/2019,0.36815684
114,05/07/2019,0.4181235
115,06/07/2019,0.408844
116,07/07/2019,0.5028124
117,08/07/2019,0.46591043
118,09/07/2019,0.34968877
119,10/07/2019,0.33660443
120,11/07/2019,0.46881816
121,12/07/2019,0.43934368
122,13/07/2019,0.53889805
123,14/07/2019,0.42337791
124,15/07/2019,0.39479196
125,16/07/2019,0.38123292
126,17/07/2019,0.41586185
127,18/07/2019,0.48158124
128,19/07/2019,0.50215975
129,20/07/2019,0.53872556
130,21/07/2019,0.4408466
131,22/07/2019,0.46487987
132,23/07/2019,0.46609641
133,24/07/2019,0.46983633
134,25/07/2019,0.43640539
135,26/07/2019,0.49172268
136,27/07/2019,0.47791758
137,28/07/2019,0.54324204
138,29/07/2019,0.42831331
139,30/07/2019,0.47434508
140,31/07/2019,0.43244616
141,01/08/2019,0.40601733
142,02/08/2019,0.47317476
143,03/08/2019,0.46356363
144,04/08/2019,0.45153889
145,05/08/2019,0.3766315
146,06/08/2019,0.40494854
147,07/08/2019,0.43284716
148,08/08/2019,0.41830115
149,09/08/2019,0.37930857
150,10/08/2019,0.4371456
151,11/08/2019,0.51798055
152,12/08/2019,0.48073743
153,13/08/2019,0.40124221
154,14/08/2019,0.37647359
155,15/08/2019,0.38595439
156,16/08/2019,0.43095107
157,17/08/2019,0.40911574
158,18/08/2019,0.5489404
159,19/08/2019,0.41527582
160,20/08/2019,0.38423043
161,21/08/2019,0.48926762
162,22/08/2019,0.39173725
163,23/08/2019,0.41071194
164,24/08/2019,0.44857351
165,25/08/2019,0.47450023
166,26/08/2019,0.42253165
167,27/08/2019,0.46590359
168,28/08/2019,0.41422253
169,29/08/2019,0.35493761
170,30/08/2019,0.41816746
171,31/08/2019,0.40500605
172,01/09/2019,0.3995072
173,02/09/2019,0.35045805
174,03/09/2019,0.34611708
175,04/09/2019,0.36782444
176,05/09/2019,0.47523502
177,06/09/2019,0.34221902
178,07/09/2019,0.48603083
179,08/09/2019,0.41490175
180,09/09/2019,0.39607821
181,10/09/2019,0.3598356
182,11/09/2019,0.33650273
183,12/09/2019,0.3727173
184,13/09/2019,0.45134061
185,14/09/2019,0.45991069
186,15/09/2019,0.40334457
187,16/09/2019,0.37794802
188,17/09/2019,0.36039836
189,18/09/2019,0.34678507
190,19/09/2019,0.36421696
191,20/09/2019,0.41012468
192,21/09/2019,0.46107638
193,22/09/2019,0.45250425
194,23/09/2019,0.40799798
195,24/09/2019,0.37903923
196,25/09/2019,0.38723083
197,26/09/2019,0.34730188
198,27/09/2019,0.38434578
199,28/09/2019,0.52289208
200,29/09/2019,0.48062025
201,30/09/2019,0.41988224
202,01/10/2019,0.40152501
203,02/10/2019,0.41849271
204,03/10/2019,0.43308969
205,04/10/2019,0.44867582
206,05/10/2019,0.43083325
207,06/10/2019,0.54236467
208,07/10/2019,0.42290795
209,08/10/2019,0.44607376
210,09/10/2019,0.41479787
211,10/10/2019,0.44574704
212,11/10/2019,0.46745195
213,12/10/2019,0.46580972
214,13/10/2019,0.60836667
215,14/10/2019,0.48665924
216,15/10/2019,0.45136224
217,16/10/2019,0.49527508
218,17/10/2019,0.56605523
219,18/10/2019,0.45940156
220,19/10/2019,0.38285295
221,20/10/2019,0.46363028
222,21/10/2019,0.46484675
223,22/10/2019,0.40857061
224,23/10/2019,0.35635409
225,24/10/2019,0.48090134
226,25/10/2019,0.36017754
227,26/10/2019,0.3407247
228,27/10/2019,0.42882854
229,28/10/2019,0.38313943
230,29/10/2019,0.35982034
231,30/10/2019,0.4476194
232,31/10/2019,0.40705941
233,01/11/2019,0.41224461
234,02/11/2019,0.4771633
235,03/11/2019,0.54653258
236,04/11/2019,0.41184403
237,05/11/2019,0.40590319
238,06/11/2019,0.48100865
239,07/11/2019,0.45396804
